locust-worker  | [2026-04-07 08:35:59,269] 6be49cab011a/INFO/root: Kth prime result for k=49640: {"inputK":49640,"result":607129,"timeTaken":"90ms"}
locust-worker  | [2026-04-07 08:35:59,281] 6be49cab011a/INFO/root: Kth prime result for k=20243: {"inputK":20243,"result":227693,"timeTaken":"11ms"}
locust-worker  | [2026-04-07 08:35:59,304] 6be49cab011a/INFO/root: Kth prime result for k=8593: {"inputK":8593,"result":88729,"timeTaken":"3ms"}
locust-worker  | [2026-04-07 08:36:00,133] 6be49cab011a/INFO/root: Check prime result for n=93337827: {"isPrime":false,"message":"93337827 không phải là số nguyên tố"}
locust-worker  | [2026-04-07 08:36:00,153] 6be49cab011a/INFO/root: Range prime result for n=325941: {"input":325941,"totalPrimesFound":28085,"timeTaken":"17ms"}
locust-worker  | [2026-04-07 08:36:00,172] 6be49cab011a/WARNING/locust.runners: The worker attempted to send more than 70 log lines in one interval. Further log sending was disabled for this worker.
locust-worker  | [2026-04-07 08:36:00,173] 6be49cab011a/INFO/root: Range prime result for n=382197: {"input":382197,"totalPrimesFound":32461,"timeTaken":"19ms"}
locust-worker  | [2026-04-07 08:36:00,177] 6be49cab011a/INFO/root: Kth prime result for k=7991: {"inputK":7991,"result":81701,"timeTaken":"3ms"}
locust-worker  | [2026-04-07 08:36:00,180] 6be49cab011a/INFO/root: Check prime result for n=61774688: {"isPrime":false,"message":"61774688 không phải là số nguyên tố"}
locust-worker  | [2026-04-07 08:36:00,272] 6be49cab011a/INFO/root: Range prime result for n=7836: {"input":7836,"totalPrimesFound":990,"timeTaken":"0ms"}
locust-worker  | [2026-04-07 08:36:00,273] 6be49cab011a/INFO/root: Check prime result for n=98794146: {"isPrime":false,"message":"98794146 không phải là số nguyên tố"}
locust-worker  | [2026-04-07 08:36:00,282] 6be49cab011a/INFO/root: Range prime result for n=167694: {"input":167694,"totalPrimesFound":15316,"timeTaken":"7ms"}
locust-worker  | [2026-04-07 08:36:00,365] 6be49cab011a/INFO/root: Kth prime result for k=45308: {"inputK":45308,"result":549749,"timeTaken":"82ms"}
locust-worker  | [2026-04-07 08:36:01,094] 6be49cab011a/INFO/root: Check prime result for n=8029391: {"isPrime":true,"message":"8029391 là số nguyên tố"}
locust-worker  | [2026-04-07 08:36:01,096] 6be49cab011a/INFO/root: Check prime result for n=65575284: {"isPrime":false,"message":"65575284 không phải là số nguyên tố"}
locust-worker  | [2026-04-07 08:36:01,122] 6be49cab011a/INFO/root: Check prime result for n=45600062: {"isPrime":false,"message":"45600062 không phải là số nguyên tố"}
locust-worker  | [2026-04-07 08:36:01,175] 6be49cab011a/INFO/root: Check prime result for n=84780428: {"isPrime":false,"message":"84780428 không phải là số nguyên tố"}
locust-worker  | [2026-04-07 08:36:01,178] 6be49cab011a/INFO/root: Check prime result for n=39958954: {"isPrime":false,"message":"39958954 không phải là số nguyên tố"}
locust-worker  | [2026-04-07 08:36:01,206] 6be49cab011a/INFO/root: Range prime result for n=428168: {"input":428168,"totalPrimesFound":36017,"timeTaken":"26ms"}
locust-worker  | [2026-04-07 08:36:01,208] 6be49cab011a/INFO/root: Range prime result for n=48845: {"input":48845,"totalPrimesFound":5022,"timeTaken":"2ms"}
locust-worker  | [2026-04-07 08:36:01,281] 6be49cab011a/INFO/root: Range prime result for n=435687: {"input":435687,"totalPrimesFound":36624,"timeTaken":"71ms"}
locust-worker  | [2026-04-07 08:36:01,283] 6be49cab011a/INFO/root: Check prime result for n=20955264: {"isPrime":false,"message":"20955264 không phải là số nguyên tố"}
locust-worker  | [2026-04-07 08:36:01,330] 6be49cab011a/INFO/root: Range prime result for n=451679: {"input":451679,"totalPrimesFound":37846,"timeTaken":"27ms"}
locust-worker  | [2026-04-07 08:36:01,370] 6be49cab011a/INFO/root: Range prime result for n=134142: {"input":134142,"totalPrimesFound":12507,"timeTaken":"5ms"}
locust-worker  | [2026-04-07 08:36:02,163] 6be49cab011a/INFO/root: Kth prime result for k=38361: {"inputK":38361,"result":458651,"timeTaken":"27ms"}
locust-worker  | [2026-04-07 08:36:02,181] 6be49cab011a/INFO/root: Kth prime result for k=27462: {"inputK":27462,"result":318271,"timeTaken":"16ms"}
locust-worker  | [2026-04-07 08:36:02,184] 6be49cab011a/INFO/root: Kth prime result for k=5171: {"inputK":5171,"result":50383,"timeTaken":"1ms"}
locust-worker  | [2026-04-07 08:36:02,232] 6be49cab011a/INFO/root: Check prime result for n=51568589: {"isPrime":false,"message":"51568589 không phải là số nguyên tố"}
locust-worker  | [2026-04-07 08:36:02,232] 6be49cab011a/INFO/root: Check prime result for n=7808865: {"isPrime":false,"message":"7808865 không phải là số nguyên tố"}
locust-worker  | [2026-04-07 08:36:02,281] 6be49cab011a/INFO/root: Kth prime result for k=49649: {"inputK":49649,"result":607219,"timeTaken":"49ms"}
locust-worker  | [2026-04-07 08:36:02,282] 6be49cab011a/INFO/root: Check prime result for n=79466761: {"isPrime":false,"message":"79466761 không phải là số nguyên tố"}
locust-worker  | [2026-04-07 08:36:02,373] 6be49cab011a/INFO/root: Kth prime result for k=48653: {"inputK":48653,"result":594119,"timeTaken":"89ms"}
locust-worker  | [2026-04-07 08:36:02,383] 6be49cab011a/INFO/root: Range prime result for n=165204: {"input":165204,"totalPrimesFound":15108,"timeTaken":"7ms"}
locust-worker  | [2026-04-07 08:36:03,099] 6be49cab011a/INFO/root: Check prime result for n=70346939: {"isPrime":false,"message":"70346939 không phải là số nguyên tố"}
locust-worker  | [2026-04-07 08:36:03,149] 6be49cab011a/INFO/root: Range prime result for n=425757: {"input":425757,"totalPrimesFound":35832,"timeTaken":"25ms"}
locust-worker  | [2026-04-07 08:36:03,166] 6be49cab011a/INFO/root: Kth prime result for k=24520: {"inputK":24520,"result":281023,"timeTaken":"14ms"}
locust-worker  | [2026-04-07 08:36:03,169] 6be49cab011a/INFO/root: Check prime result for n=70676338: {"isPrime":false,"message":"70676338 không phải là số nguyên tố"}
locust-worker  | [2026-04-07 08:36:03,182] 6be49cab011a/INFO/root: Check prime result for n=13845687: {"isPrime":false,"message":"13845687 không phải là số nguyên tố"}
locust-worker  | [2026-04-07 08:36:03,246] 6be49cab011a/INFO/root: Kth prime result for k=39734: {"inputK":39734,"result":476369,"timeTaken":"35ms"}
